Overall Rank,City,Region,Happiness Score,Emotional & Physical Well-Being Rank,Income & Employment Rank,Community & Environment Rank,Latitude,Longitude,Elevation,max_temp_mean,min_temp_mean,daylight_duration_mean,sunshine_duration_mean,uv_index_max_mean,precipitation_sum_mean,rain_sum_mean,showers_sum_mean,snowfall_sum_mean,precipitation_hours_mean,wind_speed_10m_max_mean,wind_gusts_10m_max_mean,shortwave_radiation_sum_mean
1,"Fremont, CA",West,74.16,1,85,3,37.55,-121.98,18.00,69.66520548,50.5939726,12.19318456,8.229079011,5.720547945,0.038832877,0.038832877,0,0,0.624657534,11.47452055,18.14136986,17.95112329
2,"Overland Park, KS",Midwest,69.78,6,36,6,38.98,-94.66,333.00,69.02356164,48.9290411,12.19899005,8.042054368,5.339315068,0.080616438,0.080616438,0,0,0.934246575,12.5490411,24.01616438,16.69427397
3,"San Jose, CA",West,69.54,2,33,37,37.35,-121.88,33.00,71.23726027,50.2339726,12.19239655,8.608135974,5.73739726,0.040254795,0.040254795,0,0,0.583561644,11.16465753,16.94493151,18.45769863
4,"Madison, WI",Midwest,68.99,7,17,9,43.06,-89.40,272.00,60.2090411,42.52712329,12.2180182,7.386339482,4.536986301,0.08,0.08,0,0,1.22739726,12.08958904,23.79123288,15.67852055
5,"Irvine, CA",West,68.22,4,26,24,33.67,-117.83,18.00,72.84547945,55.62767123,12.17916406,7.673047192,6.161780822,0.036123288,0.036123288,0,0,0.476712329,9.522465753,13.8509589,17.29545205
6,"Honolulu, HI",West,68.03,19,40,1,21.38,-158.00,4.00,84.15369863,73.5769863,12.14691051,10.56699368,7.695753425,0.012558904,0.000909589,0.011076712,0,0.8,11.92849315,25.51068493,20.53473973
7,"San Francisco, CA",West,67.01,3,81,30,37.76,-122.41,18.00,65.44520548,49.69671233,12.19403295,8.262793623,5.672739726,0.062652055,0.062652055,0,0,0.775342466,12.91726027,21.28794521,17.41191781
8,"Pearl City, HI",West,66.9,15,151,2,21.38,-158.00,24.00,83.91589041,73.33534247,12.14691051,10.56699368,7.580821918,0.012558904,0.000909589,0.011076712,0,0.8,11.92849315,25.51068493,20.53473973
9,"Columbia, MD",Northeast,65.77,5,170,60,39.25,-76.85,123.00,67.23726027,48.77287671,12.20013763,7.647249893,5.060273973,0.082742466,0.082742466,0,0,0.969863014,10.77726027,21.54575342,16.128
10,"Scottsdale, AZ",Southwest,65.26,27,72,4,33.51,-111.91,385.00,87.41013699,62.25726027,12.17865641,10.00037329,6.568356164,0.016569863,0.016569863,0,0,0.18630137,9.604383562,18.56410959,21.58926027
11,"Sioux Falls, SD",Midwest,65.06,10,57,47,43.56,-96.69,452.00,59.95013699,39.77808219,12.22063101,8.234117192,5.049315068,0.035364384,0.035364384,0,0,0.701369863,14.49205479,25.58,16.43024658
12,"Huntington Beach, CA",West,64.28,13,77,53,33.66,-117.99,14.00,67.96630137,54.78136986,12.17915313,7.503166012,5.920684932,0.029657534,0.029657534,0,0,0.482191781,11.41753425,16.24164384,16.81926027
